,year,country,sex,age,suicides_no,Population,GDPyear,suicides_100k,latitude,longitude
15,1985,Argentina,female,05-14 years,11,2955200,88416668900.0,0.37,-38.416097,-63.616671999999994
12,1985,Argentina,female,15-24 years,69,2354200,88416668900.0,2.93,-38.416097,-63.616671999999994
13,1985,Argentina,female,25-34 years,65,2185200,88416668900.0,2.97,-38.416097,-63.616671999999994
14,1985,Argentina,female,35-54 years,142,3355300,88416668900.0,4.23,-38.416097,-63.616671999999994
16,1985,Argentina,female,55-74 years,210,2304000,88416668900.0,9.11,-38.416097,-63.616671999999994
17,1985,Argentina,female,75+ years,41,537000,88416668900.0,7.64,-38.416097,-63.616671999999994
21,1985,Argentina,male,05-14 years,16,3044200,88416668900.0,0.53,-38.416097,-63.616671999999994
18,1985,Argentina,male,15-24 years,156,2415200,88416668900.0,6.46,-38.416097,-63.616671999999994
19,1985,Argentina,male,25-34 years,177,2234200,88416668900.0,7.92,-38.416097,-63.616671999999994
20,1985,Argentina,male,35-54 years,414,3346300,88416668900.0,12.37,-38.416097,-63.616671999999994
22,1985,Argentina,male,55-74 years,485,1997000,88416668900.0,24.29,-38.416097,-63.616671999999994
23,1985,Argentina,male,75+ years,202,363000,88416668900.0,55.65,-38.416097,-63.616671999999994
27,1985,Australia,female,05-14 years,4,1231400,180190994861.0,0.32,-25.274398,133.775136
24,1985,Australia,female,15-24 years,69,1304000,180190994861.0,5.29,-25.274398,133.775136
25,1985,Australia,female,25-34 years,64,1275900,180190994861.0,5.02,-25.274398,133.775136
26,1985,Australia,female,35-54 years,143,1832700,180190994861.0,7.8,-25.274398,133.775136
28,1985,Australia,female,55-74 years,109,1286900,180190994861.0,8.47,-25.274398,133.775136
29,1985,Australia,female,75+ years,36,382900,180190994861.0,9.4,-25.274398,133.775136
33,1985,Australia,male,05-14 years,4,1290600,180190994861.0,0.31,-25.274398,133.775136
30,1985,Australia,male,15-24 years,315,1355800,180190994861.0,23.23,-25.274398,133.775136
31,1985,Australia,male,25-34 years,357,1299100,180190994861.0,27.48,-25.274398,133.775136
32,1985,Australia,male,35-54 years,411,1906800,180190994861.0,21.55,-25.274398,133.775136
34,1985,Australia,male,55-74 years,282,1177400,180190994861.0,23.95,-25.274398,133.775136
35,1985,Australia,male,75+ years,67,219000,180190994861.0,30.59,-25.274398,133.775136
39,1985,Austria,female,05-14 years,2,453859,69386774475.0,0.44,47.516231,14.550072
36,1985,Austria,female,15-24 years,50,633592,69386774475.0,7.89,47.516231,14.550072
37,1985,Austria,female,25-34 years,56,544765,69386774475.0,10.28,47.516231,14.550072
38,1985,Austria,female,35-54 years,186,936799,69386774475.0,19.85,47.516231,14.550072
40,1985,Austria,female,55-74 years,220,842978,69386774475.0,26.1,47.516231,14.550072
41,1985,Austria,female,75+ years,110,339223,69386774475.0,32.43,47.516231,14.550072
45,1985,Austria,male,05-14 years,6,475074,69386774475.0,1.26,47.516231,14.550072
42,1985,Austria,male,15-24 years,207,653728,69386774475.0,31.66,47.516231,14.550072
43,1985,Austria,male,25-34 years,232,548783,69386774475.0,42.28,47.516231,14.550072
44,1985,Austria,male,35-54 years,515,940526,69386774475.0,54.76,47.516231,14.550072
46,1985,Austria,male,55-74 years,355,584253,69386774475.0,60.76,47.516231,14.550072
47,1985,Austria,male,75+ years,152,156535,69386774475.0,97.1,47.516231,14.550072
87,1985,Belgium,female,05-14 years,1,615800,86730038793.0,0.16,50.503887,4.469936
84,1985,Belgium,female,15-24 years,33,744100,86730038793.0,4.43,50.503887,4.469936
85,1985,Belgium,female,25-34 years,78,744000,86730038793.0,10.48,50.503887,4.469936
86,1985,Belgium,female,35-54 years,252,1216200,86730038793.0,20.72,50.503887,4.469936
88,1985,Belgium,female,55-74 years,276,1029700,86730038793.0,26.8,50.503887,4.469936
89,1985,Belgium,female,75+ years,119,409900,86730038793.0,29.03,50.503887,4.469936
93,1985,Belgium,male,05-14 years,12,644100,86730038793.0,1.86,50.503887,4.469936
90,1985,Belgium,male,15-24 years,109,775300,86730038793.0,14.06,50.503887,4.469936
91,1985,Belgium,male,25-34 years,245,775300,86730038793.0,31.6,50.503887,4.469936
92,1985,Belgium,male,35-54 years,493,1228000,86730038793.0,40.15,50.503887,4.469936
94,1985,Belgium,male,55-74 years,449,876400,86730038793.0,51.23,50.503887,4.469936
95,1985,Belgium,male,75+ years,214,210800,86730038793.0,101.52,50.503887,4.469936
99,1985,Brazil,female,05-14 years,41,15622900,222942790435.0,0.26,-14.235004,-51.92528
96,1985,Brazil,female,15-24 years,280,13751800,222942790435.0,2.04,-14.235004,-51.92528
97,1985,Brazil,female,25-34 years,269,10798700,222942790435.0,2.49,-14.235004,-51.92528
98,1985,Brazil,female,35-54 years,296,12185200,222942790435.0,2.43,-14.235004,-51.92528
100,1985,Brazil,female,55-74 years,148,5650100,222942790435.0,2.62,-14.235004,-51.92528
101,1985,Brazil,female,75+ years,32,988100,222942790435.0,3.24,-14.235004,-51.92528
105,1985,Brazil,male,05-14 years,35,15693700,222942790435.0,0.22,-14.235004,-51.92528
102,1985,Brazil,male,15-24 years,661,13834000,222942790435.0,4.78,-14.235004,-51.92528
103,1985,Brazil,male,25-34 years,791,10762900,222942790435.0,7.35,-14.235004,-51.92528
104,1985,Brazil,male,35-54 years,1011,11986300,222942790435.0,8.43,-14.235004,-51.92528
106,1985,Brazil,male,55-74 years,535,5364900,222942790435.0,9.97,-14.235004,-51.92528
107,1985,Brazil,male,75+ years,129,840300,222942790435.0,15.35,-14.235004,-51.92528
111,1985,Bulgaria,female,05-14 years,2,632800,17155421053.0,0.32,42.733883,25.48583
108,1985,Bulgaria,female,15-24 years,31,575700,17155421053.0,5.38,42.733883,25.48583
109,1985,Bulgaria,female,25-34 years,36,619200,17155421053.0,5.81,42.733883,25.48583
110,1985,Bulgaria,female,35-54 years,91,1228400,17155421053.0,7.41,42.733883,25.48583
112,1985,Bulgaria,female,55-74 years,168,952200,17155421053.0,17.64,42.733883,25.48583
113,1985,Bulgaria,female,75+ years,94,222700,17155421053.0,42.21,42.733883,25.48583
117,1985,Bulgaria,male,05-14 years,11,667800,17155421053.0,1.65,42.733883,25.48583
114,1985,Bulgaria,male,15-24 years,77,603600,17155421053.0,12.76,42.733883,25.48583
115,1985,Bulgaria,male,25-34 years,105,624800,17155421053.0,16.81,42.733883,25.48583
116,1985,Bulgaria,male,35-54 years,278,1217500,17155421053.0,22.83,42.733883,25.48583
118,1985,Bulgaria,male,55-74 years,345,881600,17155421053.0,39.13,42.733883,25.48583
119,1985,Bulgaria,male,75+ years,218,166200,17155421053.0,131.17,42.733883,25.48583
123,1985,Canada,female,05-14 years,5,1751000,364756499451.0,0.29,56.130366,-106.34677099999999
120,1985,Canada,female,15-24 years,85,2143200,364756499451.0,3.97,56.130366,-106.34677099999999
121,1985,Canada,female,25-34 years,148,2257500,364756499451.0,6.56,56.130366,-106.34677099999999
122,1985,Canada,female,35-54 years,255,3025600,364756499451.0,8.43,56.130366,-106.34677099999999
124,1985,Canada,female,55-74 years,166,2092200,364756499451.0,7.93,56.130366,-106.34677099999999
125,1985,Canada,female,75+ years,34,642900,364756499451.0,5.29,56.130366,-106.34677099999999
129,1985,Canada,male,05-14 years,13,1844400,364756499451.0,0.7,56.130366,-106.34677099999999
126,1985,Canada,male,15-24 years,560,2224600,364756499451.0,25.17,56.130366,-106.34677099999999
127,1985,Canada,male,25-34 years,605,2240500,364756499451.0,27.0,56.130366,-106.34677099999999
128,1985,Canada,male,35-54 years,774,3046800,364756499451.0,25.4,56.130366,-106.34677099999999
130,1985,Canada,male,55-74 years,502,1841000,364756499451.0,27.27,56.130366,-106.34677099999999
131,1985,Canada,male,75+ years,111,390200,364756499451.0,28.45,56.130366,-106.34677099999999
135,1985,Chile,female,05-14 years,1,1203800,17702885394.0,0.08,-35.675146999999996,-71.542969
132,1985,Chile,female,15-24 years,27,1216200,17702885394.0,2.22,-35.675146999999996,-71.542969
133,1985,Chile,female,25-34 years,19,957500,17702885394.0,1.98,-35.675146999999996,-71.542969
134,1985,Chile,female,35-54 years,40,1252200,17702885394.0,3.19,-35.675146999999996,-71.542969
136,1985,Chile,female,55-74 years,21,633700,17702885394.0,3.31,-35.675146999999996,-71.542969
137,1985,Chile,female,75+ years,3,141200,17702885394.0,2.12,-35.675146999999996,-71.542969
141,1985,Chile,male,05-14 years,9,1240900,17702885394.0,0.73,-35.675146999999996,-71.542969
138,1985,Chile,male,15-24 years,133,1239900,17702885394.0,10.73,-35.675146999999996,-71.542969
139,1985,Chile,male,25-34 years,122,962600,17702885394.0,12.67,-35.675146999999996,-71.542969
140,1985,Chile,male,35-54 years,174,1201800,17702885394.0,14.48,-35.675146999999996,-71.542969
142,1985,Chile,male,55-74 years,100,538000,17702885394.0,18.59,-35.675146999999996,-71.542969
143,1985,Chile,male,75+ years,34,87600,17702885394.0,38.81,-35.675146999999996,-71.542969
147,1985,Colombia,female,05-14 years,10,3360000,34894411352.0,0.3,4.570868,-74.297333
144,1985,Colombia,female,15-24 years,117,3140700,34894411352.0,3.73,4.570868,-74.297333
145,1985,Colombia,female,25-34 years,45,2276100,34894411352.0,1.98,4.570868,-74.297333
146,1985,Colombia,female,35-54 years,31,2403500,34894411352.0,1.29,4.570868,-74.297333
148,1985,Colombia,female,55-74 years,12,1150600,34894411352.0,1.04,4.570868,-74.297333
149,1985,Colombia,female,75+ years,3,174000,34894411352.0,1.72,4.570868,-74.297333
153,1985,Colombia,male,05-14 years,12,3443900,34894411352.0,0.35,4.570868,-74.297333
150,1985,Colombia,male,15-24 years,256,3190200,34894411352.0,8.02,4.570868,-74.297333
151,1985,Colombia,male,25-34 years,193,2323700,34894411352.0,8.31,4.570868,-74.297333
152,1985,Colombia,male,35-54 years,188,2451100,34894411352.0,7.67,4.570868,-74.297333
154,1985,Colombia,male,55-74 years,113,1015200,34894411352.0,11.13,4.570868,-74.297333
155,1985,Colombia,male,75+ years,21,123400,34894411352.0,17.02,4.570868,-74.297333
159,1985,Costa Rica,female,05-14 years,1,288800,4796628461.0,0.35,9.748917,-83.753428
156,1985,Costa Rica,female,15-24 years,8,274800,4796628461.0,2.91,9.748917,-83.753428
157,1985,Costa Rica,female,25-34 years,3,214000,4796628461.0,1.4,9.748917,-83.753428
158,1985,Costa Rica,female,35-54 years,3,216000,4796628461.0,1.39,9.748917,-83.753428
160,1985,Costa Rica,female,55-74 years,1,97000,4796628461.0,1.03,9.748917,-83.753428
161,1985,Costa Rica,female,75+ years,0,18000,4796628461.0,0.0,9.748917,-83.753428
165,1985,Costa Rica,male,05-14 years,2,300800,4796628461.0,0.66,9.748917,-83.753428
162,1985,Costa Rica,male,15-24 years,33,285800,4796628461.0,11.55,9.748917,-83.753428
163,1985,Costa Rica,male,25-34 years,32,219000,4796628461.0,14.61,9.748917,-83.753428
164,1985,Costa Rica,male,35-54 years,32,218000,4796628461.0,14.68,9.748917,-83.753428
166,1985,Costa Rica,male,55-74 years,12,91000,4796628461.0,13.19,9.748917,-83.753428
167,1985,Costa Rica,male,75+ years,1,13000,4796628461.0,7.69,9.748917,-83.753428
183,1985,Ecuador,female,05-14 years,4,1262600,17149094590.0,0.32,-1.8312389999999998,-78.183406
180,1985,Ecuador,female,15-24 years,58,897700,17149094590.0,6.46,-1.8312389999999998,-78.183406
181,1985,Ecuador,female,25-34 years,31,600800,17149094590.0,5.16,-1.8312389999999998,-78.183406
182,1985,Ecuador,female,35-54 years,15,692800,17149094590.0,2.17,-1.8312389999999998,-78.183406
184,1985,Ecuador,female,55-74 years,4,303000,17149094590.0,1.32,-1.8312389999999998,-78.183406
185,1985,Ecuador,female,75+ years,2,49000,17149094590.0,4.08,-1.8312389999999998,-78.183406
189,1985,Ecuador,male,05-14 years,7,1307600,17149094590.0,0.54,-1.8312389999999998,-78.183406
186,1985,Ecuador,male,15-24 years,104,915700,17149094590.0,11.36,-1.8312389999999998,-78.183406
187,1985,Ecuador,male,25-34 years,70,610800,17149094590.0,11.46,-1.8312389999999998,-78.183406
188,1985,Ecuador,male,35-54 years,57,692800,17149094590.0,8.23,-1.8312389999999998,-78.183406
190,1985,Ecuador,male,55-74 years,33,289000,17149094590.0,11.42,-1.8312389999999998,-78.183406
191,1985,Ecuador,male,75+ years,8,40000,17149094590.0,20.0,-1.8312389999999998,-78.183406
195,1985,France,female,05-14 years,6,3645600,553138414367.0,0.16,46.227638,2.213749
192,1985,France,female,15-24 years,197,4220700,553138414367.0,4.67,46.227638,2.213749
193,1985,France,female,25-34 years,447,4213300,553138414367.0,10.61,46.227638,2.213749
194,1985,France,female,35-54 years,1065,6652100,553138414367.0,16.01,46.227638,2.213749
196,1985,France,female,55-74 years,1218,5255800,553138414367.0,23.17,46.227638,2.213749
197,1985,France,female,75+ years,670,2434600,553138414367.0,27.52,46.227638,2.213749
201,1985,France,male,05-14 years,29,3837000,553138414367.0,0.76,46.227638,2.213749
198,1985,France,male,15-24 years,740,4349200,553138414367.0,17.01,46.227638,2.213749
